type,siret
present_2025_not_old,26480238000016
present_2025_not_old,81024478000013
present_2025_not_old,49988040900010
present_2025_not_old,30159320800012
present_2025_not_old,98530348600015
present_2025_not_old,30624920200012
present_2025_not_old,38900416900030
present_2025_not_old,35374190300010
present_2025_not_old,75303052700018
present_2025_not_old,75113569000012
present_2025_not_old,26490255200027
present_2025_not_old,81024478000021
present_2025_not_old,52202633500011
present_2025_not_old,30161379000049
present_2025_not_old,31764350000026
present_2025_not_old,30626043100029
present_2025_not_old,78030768200010
present_2025_not_old,35374799100027
present_2025_not_old,75303479200022
present_2025_not_old,75113678900011
present_2025_not_old,26490549800012
present_2025_not_old,50057534500011
present_2025_not_old,31005834200026
present_2025_not_old,30161379000064
present_2025_not_old,48075112200015
present_2025_not_old,30626946500010
present_2025_not_old,81032331100011
present_2025_not_old,35375473200033
present_2025_not_old,75303914800022
present_2025_not_old,75114783600025
present_2025_not_old,26510292100011
present_2025_not_old,44512745900011
present_2025_not_old,91913170600013
present_2025_not_old,30163453100026
present_2025_not_old,44391267000017
present_2025_not_old,30627334300021
present_2025_not_old,34394184500012
present_2025_not_old,35375473200017
present_2025_not_old,75304200100010
present_2025_not_old,75114794300011
present_2025_not_old,26530192900013
present_2025_not_old,38953343100018
present_2025_not_old,98159906100018
present_2025_not_old,30163673400024
present_2025_not_old,38010613800031
present_2025_not_old,30632015100021
present_2025_not_old,49775448100016
present_2025_not_old,35375981400026
present_2025_not_old,75306186000015
present_2025_not_old,75115317200026
present_2025_not_old,26530212500017
present_2025_not_old,49098061200017
present_2025_not_old,40880816000019
present_2025_not_old,30166595600019
present_2025_not_old,98281562300011
present_2025_not_old,30632807100015
present_2025_not_old,50765141200029
present_2025_not_old,35376120800019
present_2025_not_old,75306239700017
present_2025_not_old,75115655500029
present_2025_not_old,26540462400016
present_2025_not_old,41774222800014
present_2025_not_old,52509397700011
present_2025_not_old,30168353800021
present_2025_not_old,53385735500176
present_2025_not_old,30634071200018
present_2025_not_old,81007393200016
present_2025_not_old,35376231300016
present_2025_not_old,75306464100016
present_2025_not_old,75115936900014
present_2025_not_old,26560153400018
present_2025_not_old,98317494700017
